Year,County,FIP_code,State,Specificity ,Accessibility ,CombinedRecVar,,,,,,,
2015,Wakulla,12129,Florida,1,4,4,,,,,,,
2015,Walton,12131,Florida,0.5,4,2,,,,,,,
2015,Washington,12133,Florida,0.5,1,0.5,,,,,,,
2019,Adams,39001,Ohio,0.5,1,0.5,,,,,,,
2015,Allen,39003,Ohio,5,4,20,,,,,,,
2015,Ashland,39005,Ohio,6,5,30,,,,,,,
2015,Ashtabula,39007,Ohio,0.5,1,0.5,,,,,,,
2015,Athens,39009,Ohio,0.5,1,0.5,,,,,,,
2015,Auglaize,39011,Ohio,0.5,0.5,0.25,,,,,,,
2015,Belmont,39013,Ohio,0.5,1,0.5,,,,,,,
2015,Brown,39015,Ohio,0.5,1,0.5,,,,,,,
2018,Butler,39017,Ohio,0.5,0.5,0.25,,,,,,,
2015,Carroll,39019,Ohio,0.5,1,0.5,,,,,,,
2015,Champaign,39021,Ohio,1,4,4,,,,,,,
2015,Clark,39023,Ohio,0.5,1,0.5,,,,,,,
2015,Clermont,39025,Ohio,1,5,5,,,,,,,
2015,Clinton,39027,Ohio,0.5,1,0.5,,,,,,,
2015,Columbiana,39029,Ohio,0.5,0.5,0.25,,,,,,,
2016,Coshocton,39031,Ohio,0.5,1,0.5,,,,,,,
2017,Crawford,39033,Ohio,0.5,1,0.5,,,,,,,
2015,Cuyahoga,39035,Ohio,0.5,0.5,0.25,,,,,,,
2015,Darke,39037,Ohio,1,6,6,,,,,,,
2015,Defiance,39039,Ohio,0.5,1,0.5,,,,,,,
2015,Delaware,39041,Ohio,4,5,20,,,,,,,
2019,Erie,39043,Ohio,0.5,1,0.5,,,,,,,
2015,Fairfield,39045,Ohio,0.5,6,3,,,,,,,
2015,Fayette,39047,Ohio,1,6,6,,,,,,,
2015,Franklin,39049,Ohio,1,4,4,,,,,,,
2015,Fulton,39051,Ohio,0.5,1,0.5,,,,,,,
2015,Gallia,39053,Ohio,0.5,1,0.5,,,,,,,
2015,Geauga,39055,Ohio,0.5,1,0.5,,,,,,,
2015,Greene,39057,Ohio,3,5,15,,,,,,,
2015,Guernsey,39059,Ohio,0.5,1,0.5,,,,,,,
2015,Hamilton,39061,Ohio,1,4,4,,,,,,,
2017,Hancock,39063,Ohio,0.5,1,0.5,,,,,,,
2018,Hardin,39065,Ohio,0.5,0.5,0.25,,,,,,,
2019,Harrison,39067,Ohio,0.5,0.5,0.25,,,,,,,
2015,Henry,39069,Ohio,1,4,4,,,,,,,
2015,Highland,39071,Ohio,0.5,1,0.5,,,,,,,
2019,Hocking,39073,Ohio,0.5,1,0.5,,,,,,,
2015,Holmes,39075,Ohio,0.5,0.5,0.25,,,,,,,
2019,Huron,39077,Ohio,1,5,5,,,,,,,
2019,Jackson,39079,Ohio,0.5,0.5,0.25,,,,,,,
2015,Jefferson,39081,Ohio,0.5,1,0.5,,,,,,,
2015,Knox,39083,Ohio,0.5,1,0.5,,,,,,,
2015,Lake,39085,Ohio,1,2,2,,,,,,,
2015,Lawrence,39087,Ohio,0.5,1,0.5,,,,,,,
2015,Licking,39089,Ohio,6,5,30,,,,,,,
2015,Logan,39091,Ohio,0.5,1,0.5,,,,,,,
2015,Lorain,39093,Ohio,6,4,24,,,,,,,
2015,Lucas,39095,Ohio,0.5,1,0.5,,,,,,,
2019,Madison,39097,Ohio,0.5,0.5,0.25,,,,,,,
2015,Mahoning,39099,Ohio,0.5,1,0.5,,,,,,,
2015,Marion,39101,Ohio,0.5,1,0.5,,,,,,,
2015,Medina,39103,Ohio,4,5,20,,,,,,,
2015,Meigs,39105,Ohio,0.5,1,0.5,,,,,,,
2017,Mercer,39107,Ohio,0.5,1,0.5,,,,,,,
2015,Miami,39109,Ohio,0.5,0.5,0.25,,,,,,,
2019,Monroe,39111,Ohio,0.5,1,0.5,,,,,,,
2015,Montgomery,39113,Ohio,0.5,0.5,0.25,,,,,,,
2019,Morgan,39115,Ohio,0.5,0.5,0.25,,,,,,,
2015,Morrow,39117,Ohio,5,4,20,,,,,,,
2015,Muskingum,39119,Ohio,0.5,1,0.5,,,,,,,
2015,Noble,39121,Ohio,4,4,16,,,,,,,
2015,Ottawa,39123,Ohio,1,5,5,,,,,,,
2015,Paulding,39125,Ohio,0.5,1,0.5,,,,,,,
2015,Perry,39127,Ohio,0.5,1,0.5,,,,,,,
2015,Pickaway,39129,Ohio,0.5,0.5,0.25,,,,,,,
2015,Pike,39131,Ohio,0.5,1,0.5,,,,,,,
2015,Portage,39133,Ohio,0.5,0.5,0.25,,,,,,,
,Preble,39135,Ohio,0.5,1,0.5,,,,,,,
,Putnam,39137,Ohio,0.5,-1,-1.5,,,,,,,
2015,Richland,39139,Ohio,1,5,5,,,,,,,
2017,Ross,39141,Ohio,0.5,1,0.5,,,,,,,
2019,Sandusky,39143,Ohio,1,4,4,,,,,,,
2017,Scioto,39145,Ohio,0.5,1,0.5,,,,,,,
2015,Seneca,39147,Ohio,0.5,1,0.5,,,,,,,
2015,Shelby,39149,Ohio,0.5,1,0.5,,,,,,,
2016,Stark,39151,Ohio,0.5,0.5,0.25,,,,,,,
2015,Summit,39153,Ohio,0.5,4,2,,,,,,,
2019,Trumbull,39155,Ohio,0.5,1,0.5,,,,,,,
2015,Tuscarawas,39157,Ohio,0.5,1,0.5,,,,,,,
2015,Union,39159,Ohio,7,3,21,,,,,,,
2015,Van Wert,39161,Ohio,2,4,8,,,,,,,
,Vinton,39163,Ohio,0.5,-1,-1.5,,,,,,,
2018,Warren,39165,Ohio,1,4,4,,,,,,,
2016,Washington,39167,Ohio,0.5,1,0.5,,,,,,,
2015,Wayne,39169,Ohio,2,5,10,,,,,,,
2015,Williams,39171,Ohio,0.5,1,0.5,,,,,,,
2015,Wood,39173,Ohio,0.5,1,0.5,,,,,,,
2015,Wyandot,39175,Ohio,1,6,6,,,,,,,
